City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Santa Maria,BR,76.39,broken clouds,-29.6842,-53.8069,Hotel Morotin
5,Tete,MZ,84.56,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
7,Bengkulu,ID,76.03,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
8,Georgetown,MY,76.53,overcast clouds,5.4112,100.3354,Cititel Penang
10,Kaputa,ZM,76.64,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
11,Hurghada,EG,76.46,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
13,Manggar,ID,79.86,broken clouds,-2.8833,108.2667,Guest Hotel
14,Morros,BR,85.59,moderate rain,-9.4467,-46.3003,
19,Rikitea,PF,76.1,clear sky,-23.1203,-134.9692,People ThankYou
22,Vaini,TO,75.58,overcast clouds,-21.2,-175.2,Keleti Beach Resort
28,Kavieng,PG,81.39,moderate rain,-2.5744,150.7967,Nusa Island Retreat
29,Arraial Do Cabo,BR,76.39,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Dakar,SN,77.61,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
35,Cumana,VE,84.18,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
37,Bandarbeyla,SO,78.69,clear sky,9.4942,50.8122,JABIR HOTEL
39,Bambous Virieux,MU,78.13,clear sky,-20.3428,57.7575,Casa Tia Villa
42,Salalah,OM,78.78,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
43,Butaritari,KI,81.37,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Amapa,BR,86.25,broken clouds,1.0,-52.0,
46,Porto Nacional,BR,81.54,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
47,Mahibadhoo,MV,81.73,overcast clouds,3.7833,72.9667,Omadhoo Inn
52,Lagos,NG,82.27,overcast clouds,6.5833,3.75,
53,Souillac,MU,78.22,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Tambopata,PE,89.24,overcast clouds,-12.7333,-69.1833,
67,Mahebourg,MU,78.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Saint-Philippe,RE,76.23,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Hithadhoo,MV,81.52,scattered clouds,-0.6,73.0833,Scoop Guest House
83,Cidreira,BR,81.64,clear sky,-30.1811,-50.2056,Hotel Castelo
85,Castro,BR,76.03,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
88,Sao Filipe,CV,76.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
90,Vieques,PR,82.74,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
92,Alofi,NU,76.95,overcast clouds,-19.0595,-169.9187,Taloa Heights
94,Saint-Pierre,RE,76.98,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
99,Monrovia,LR,83.19,scattered clouds,6.3005,-10.7969,Sunset Inn
