City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-6.59,91,91,15.19,overcast clouds
1,Santa Maria,BR,-29.6842,-53.8069,76.39,52,59,15.03,broken clouds
2,Mataura,NZ,-46.1927,168.8643,45.05,98,58,1.19,broken clouds
3,Albanel,CA,48.8832,-72.4487,22.41,72,27,0.63,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,48.92,50,22,28.83,few clouds
5,Tete,MZ,-16.1564,33.5867,84.56,27,6,4.59,clear sky
6,Comodoro Rivadavia,AR,-45.8667,-67.5,67.82,35,15,7.85,few clouds
7,Bengkulu,ID,-3.8004,102.2655,76.03,87,98,9.48,light rain
8,Georgetown,MY,5.4112,100.3354,76.53,91,100,4.74,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-10.34,92,100,16.93,overcast clouds
10,Kaputa,ZM,-8.4689,29.6619,76.64,70,30,2.24,scattered clouds
11,Hurghada,EG,27.2574,33.8129,76.46,37,5,2.39,clear sky
12,Limbang,MY,4.75,115.0,73.96,94,96,1.25,overcast clouds
13,Manggar,ID,-2.8833,108.2667,79.86,79,74,5.73,broken clouds
14,Morros,BR,-9.4467,-46.3003,85.59,57,86,4.12,moderate rain
15,Adrar,MR,20.5022,-10.0711,74.89,18,25,9.69,scattered clouds
16,Cape Town,ZA,-33.9258,18.4232,65.73,70,8,6.53,clear sky
17,Ust-Kuyga,RU,70.0167,135.6,-11.85,98,100,3.29,overcast clouds
18,Breza,BA,44.0183,18.2608,34.18,94,100,7.72,light snow
19,Rikitea,PF,-23.1203,-134.9692,76.1,76,1,17.87,clear sky
20,Kruisfontein,ZA,-34.0033,24.7314,64.38,70,97,5.32,overcast clouds
21,Udachnyy,RU,66.4167,112.4,-32.26,100,100,3.58,overcast clouds
22,Vaini,TO,-21.2,-175.2,75.58,65,91,16.4,overcast clouds
23,Luderitz,NA,-26.6481,15.1594,66.45,75,0,17.25,clear sky
24,Port Hawkesbury,CA,45.6169,-61.3485,44.64,87,100,15.88,moderate rain
25,Ponta Do Sol,PT,32.6667,-17.1,64.4,69,62,4.38,broken clouds
26,Srednekolymsk,RU,67.45,153.6833,-20.63,98,100,5.41,overcast clouds
27,Aguilas,ES,37.4063,-1.5829,59.47,56,0,5.86,clear sky
28,Kavieng,PG,-2.5744,150.7967,81.39,81,100,14.47,moderate rain
29,Arraial Do Cabo,BR,-22.9661,-42.0278,76.39,82,26,13.31,scattered clouds
30,Katobu,ID,-4.9408,122.5276,74.89,96,100,3.91,overcast clouds
31,Hokitika,NZ,-42.7167,170.9667,58.55,80,100,2.26,overcast clouds
32,Carnarvon,AU,-24.8667,113.6333,71.83,73,1,22.08,clear sky
33,Dakar,SN,14.6937,-17.4441,77.61,56,48,22.06,scattered clouds
34,Whitehorse,CA,60.7161,-135.0538,-1.89,98,90,2.19,overcast clouds
35,Cumana,VE,10.4635,-64.1775,84.18,66,95,7.74,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,47.35,56,66,14.97,light rain
37,Bandarbeyla,SO,9.4942,50.8122,78.69,72,6,21.05,clear sky
38,Bethel,US,41.3712,-73.414,37.49,62,81,10.92,broken clouds
39,Bambous Virieux,MU,-20.3428,57.7575,78.13,61,0,6.42,clear sky
40,Busselton,AU,-33.65,115.3333,52.14,79,0,7.76,clear sky
41,Kapaa,US,22.0752,-159.319,74.23,64,27,17.22,scattered clouds
42,Salalah,OM,17.0151,54.0924,78.78,43,4,4.99,clear sky
43,Butaritari,KI,3.0707,172.7902,81.37,79,77,11.03,broken clouds
44,Amapa,BR,1.0,-52.0,86.25,63,77,4.29,broken clouds
45,Manikpur,IN,25.0667,81.1167,63.12,50,89,2.1,overcast clouds
46,Porto Nacional,BR,-10.7081,-48.4172,81.54,78,100,4.27,overcast clouds
47,Mahibadhoo,MV,3.7833,72.9667,81.73,78,100,13.24,overcast clouds
48,Barrow,US,71.2906,-156.7887,-16.94,98,100,7.52,overcast clouds
49,Slave Lake,CA,55.2834,-114.769,27.75,71,34,5.12,scattered clouds
50,Terrace,CA,54.5163,-128.6035,31.78,95,96,3.09,overcast clouds
51,Saquena,PE,-4.6667,-73.5167,93.45,47,95,3.65,heavy intensity rain
52,Lagos,NG,6.5833,3.75,82.27,75,91,6.96,overcast clouds
53,Souillac,MU,-20.5167,57.5167,78.22,63,0,7.38,clear sky
54,Yar-Sale,RU,66.8333,70.8333,4.55,96,100,8.57,light snow
55,Dikson,RU,73.5069,80.5464,-15.2,96,100,18.54,overcast clouds
56,Tambopata,PE,-12.7333,-69.1833,89.24,52,98,2.48,overcast clouds
57,Yurla,RU,59.3259,54.3223,31.28,97,100,5.01,overcast clouds
58,Hartford,US,41.7668,-72.7662,39.74,59,73,7.34,broken clouds
59,Inverness,GB,57.4791,-4.224,45.86,93,100,10.27,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,68.81,78,44,13.87,scattered clouds
61,Bilibino,RU,68.0546,166.4372,-1.77,99,98,4.14,overcast clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,71.31,80,83,10.11,broken clouds
63,Kristiansund,NO,63.1115,7.732,36.14,51,100,15.39,light rain
64,Kodiak,US,57.79,-152.4072,34.93,99,100,28.7,moderate rain
65,Chalus,IR,36.655,51.4204,63.19,68,8,4.21,clear sky
66,Port Hardy,CA,50.6996,-127.4199,48.92,93,99,9.84,overcast clouds
67,Mahebourg,MU,-20.4081,57.7,78.24,62,4,6.38,clear sky
68,Leningradskiy,RU,69.3833,178.4167,-20.6,96,65,9.44,broken clouds
69,Albany,US,42.6001,-73.9662,31.96,72,91,6.69,overcast clouds
70,Bluff,NZ,-46.6,168.3333,55.9,82,97,11.59,overcast clouds
71,Ostrovnoy,RU,68.0531,39.5131,4.69,75,31,6.62,scattered clouds
72,Qaanaaq,GL,77.484,-69.3632,1.72,59,100,9.71,overcast clouds
73,Provideniya,RU,64.3833,-173.3,-4.97,87,4,8.77,clear sky
74,Portland,US,45.5234,-122.6762,52.92,92,96,2.95,overcast clouds
75,Sur,OM,22.5667,59.5289,74.66,71,0,8.75,clear sky
76,Pisco,PE,-13.7,-76.2167,72.57,66,96,8.77,overcast clouds
77,Clinton,US,42.587,-82.9199,34.02,71,19,8.55,few clouds
78,Tazovskiy,RU,67.4667,78.7,-4.13,98,100,12.86,light snow
79,Meulaboh,ID,4.1363,96.1285,73.17,96,100,2.62,light rain
80,Saint-Philippe,RE,-21.3585,55.7679,76.23,85,62,9.01,broken clouds
81,Biberach,DE,48.0934,9.7905,27.14,86,52,8.99,broken clouds
82,Hithadhoo,MV,-0.6,73.0833,81.52,78,34,13.51,scattered clouds
83,Cidreira,BR,-30.1811,-50.2056,81.64,45,4,15.57,clear sky
84,Feltre,IT,46.0235,11.907,34.84,72,32,5.93,scattered clouds
85,Castro,BR,-24.7911,-50.0119,76.03,70,74,8.01,broken clouds
86,Tikrit,IQ,34.6071,43.6782,66.24,40,63,7.49,broken clouds
87,Abay,KZ,49.6311,72.8539,9.39,74,87,4.23,overcast clouds
88,Sao Filipe,CV,14.8961,-24.4956,76.53,67,96,13.0,overcast clouds
89,Taft,IR,31.7471,54.2088,54.68,49,7,2.28,clear sky
90,Vieques,PR,18.425,-65.8329,82.74,71,31,10.78,scattered clouds
91,Bay City,US,43.5945,-83.8889,33.62,70,50,9.26,scattered clouds
