City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chlorakas,CY,2021-11-24 15:36:19,34.8042,32.4083,67.23,71,20,5.75
1,Qaqortoq,GL,2021-11-24 15:35:40,60.7167,-46.0333,32.5,97,100,19.1
2,Vaini,TO,2021-11-24 15:33:19,-21.2,-175.2,69.96,100,20,0.0
3,Akyab,MM,2021-11-24 15:36:20,20.15,92.9,79.02,61,21,5.57
4,Nikolskoye,RU,2021-11-24 15:30:44,59.7035,30.7861,35.49,78,88,10.47
5,Saint-Philippe,RE,2021-11-24 15:33:20,-21.3585,55.7679,80.19,78,79,8.84
6,Komsomolskiy,UZ,2021-11-24 15:36:20,40.4272,71.7189,44.02,56,72,4.61
7,Albany,US,2021-11-24 15:30:06,42.6001,-73.9662,34.81,58,1,8.1
8,Havre-Saint-Pierre,CA,2021-11-24 15:36:21,50.2334,-63.5986,35.6,86,90,14.97
9,Dikson,RU,2021-11-24 15:33:08,73.5069,80.5464,5.92,89,100,8.19
10,Naifaru,MV,2021-11-24 15:36:21,5.4444,73.3657,78.51,83,100,17.11
11,Hobart,AU,2021-11-24 15:30:09,-42.8794,147.3294,60.12,91,75,0.0
12,New Norfolk,AU,2021-11-24 15:30:45,-42.7826,147.0587,59.76,70,65,4.0
13,Lorengau,PG,2021-11-24 15:33:21,-2.0226,147.2712,81.88,76,96,5.1
14,Bambous Virieux,MU,2021-11-24 15:30:43,-20.3428,57.7575,79.05,69,20,8.05
15,Waingapu,ID,2021-11-24 15:36:22,-9.6567,120.2641,80.89,79,57,2.91
16,Kapaa,US,2021-11-24 15:30:40,22.0752,-159.319,69.78,94,20,8.05
17,Metro,ID,2021-11-24 15:36:22,-5.1131,105.3067,75.31,81,100,3.31
18,Harper,LR,2021-11-24 15:36:22,4.375,-7.7169,83.5,72,31,5.91
19,Coihaique,CL,2021-11-24 15:31:57,-45.5752,-72.0662,59.95,72,88,10.4
20,Constitucion,CL,2021-11-24 15:36:23,-35.3333,-72.4167,61.59,71,85,15.19
21,Balikpapan,ID,2021-11-24 15:36:23,-1.2675,116.8289,75.76,91,99,3.91
22,Souillac,MU,2021-11-24 15:30:50,-20.5167,57.5167,79.18,69,20,8.05
23,Mar Del Plata,AR,2021-11-24 15:35:45,-38.0023,-57.5575,87.82,23,0,18.41
24,Tasiilaq,GL,2021-11-24 15:30:50,65.6145,-37.6368,26.76,92,100,5.82
25,Ushuaia,AR,2021-11-24 15:30:14,-54.8,-68.3,47.86,61,75,18.41
26,Hermanus,ZA,2021-11-24 15:31:54,-34.4187,19.2345,76.89,54,1,20.67
27,Kendari,ID,2021-11-24 15:36:24,-3.945,122.4989,76.75,91,100,3.29
28,Georgetown,MY,2021-11-24 15:34:29,5.4112,100.3354,84.13,90,40,0.0
29,Busselton,AU,2021-11-24 15:30:11,-33.65,115.3333,60.08,72,18,12.97
30,Cape Town,ZA,2021-11-24 15:30:49,-33.9258,18.4232,77.11,47,20,27.63
31,Port Alfred,ZA,2021-11-24 15:30:45,-33.5906,26.891,63.81,65,100,11.3
32,Nishihara,JP,2021-11-24 15:36:25,26.1842,127.7558,63.68,55,40,5.75
33,Castro,BR,2021-11-24 15:32:01,-24.7911,-50.0119,81.39,45,97,3.06
34,Hambantota,LK,2021-11-24 15:36:25,6.1241,81.1185,77.34,100,40,5.75
35,Bredasdorp,ZA,2021-11-24 15:31:56,-34.5322,20.0403,70.29,59,0,19.3
36,Deputatskiy,RU,2021-11-24 15:36:25,69.3,139.9,-29.6,99,64,5.93
37,Yar-Sale,RU,2021-11-24 15:36:26,66.8333,70.8333,4.26,97,100,4.88
38,Levelland,US,2021-11-24 15:36:26,33.5873,-102.378,52.65,35,100,11.36
39,Touros,BR,2021-11-24 15:36:26,-5.1989,-35.4608,88.7,61,30,15.01
40,Ilulissat,GL,2021-11-24 15:33:16,69.2167,-51.1,30.22,93,90,10.36
41,Ledyard,US,2021-11-24 15:36:27,41.4398,-72.0142,37.85,44,1,7.0
42,Cam Ranh,VN,2021-11-24 15:36:27,11.9214,109.1591,78.76,83,40,17.27
43,Norman Wells,CA,2021-11-24 15:35:36,65.282,-126.8329,-29.16,68,75,2.3
44,Plettenberg Bay,ZA,2021-11-24 15:36:27,-34.0527,23.3716,61.39,73,75,14.65
45,Vila Velha,BR,2021-11-24 15:30:48,-20.3297,-40.2925,78.94,83,20,4.0
46,Saint-Joseph,RE,2021-11-24 15:37:28,-21.3667,55.6167,79.18,77,88,6.15
47,Hasaki,JP,2021-11-24 15:34:29,35.7333,140.8333,37.8,37,0,2.46
48,Beloeil,CA,2021-11-24 15:35:17,45.5668,-73.1992,31.33,69,1,1.01
49,Mandera,KE,2021-11-24 15:37:28,3.9366,41.867,90.86,21,65,5.64
50,Tecoanapa,MX,2021-11-24 15:37:29,16.5167,-98.75,82.94,67,2,1.16
51,Hithadhoo,MV,2021-11-24 15:34:27,-0.6,73.0833,82.47,73,100,18.84
52,Patacamaya,BO,2021-11-24 15:37:29,-17.2333,-67.9167,57.43,46,100,4.25
53,Kodiak,US,2021-11-24 15:33:16,57.79,-152.4072,18.91,68,90,16.11
54,Laguna,US,2021-11-24 15:35:40,38.421,-121.4238,52.92,67,1,1.01
55,Yaan,NG,2021-11-24 15:37:29,7.3833,8.5667,94.51,30,75,4.56
56,Maragogi,BR,2021-11-24 15:37:30,-9.0122,-35.2225,85.87,60,5,13.33
57,Rikitea,PF,2021-11-24 15:30:43,-23.1203,-134.9692,76.24,78,100,14.94
58,Pitimbu,BR,2021-11-24 15:37:30,-7.4706,-34.8086,90.19,66,23,11.45
59,Manacapuru,BR,2021-11-24 15:37:30,-3.2997,-60.6206,90.18,50,95,3.67
60,Luderitz,NA,2021-11-24 15:35:48,-26.6481,15.1594,69.55,64,6,23.0
61,Hare Bay,CA,2021-11-24 15:37:31,48.8499,-54.0148,52.95,92,100,15.23
62,Gonzalez,US,2021-11-24 15:37:31,30.5816,-87.2914,63.52,53,1,1.01
63,Namibe,AO,2021-11-24 15:37:32,-15.1961,12.1522,74.14,58,0,14.07
64,Atuona,PF,2021-11-24 15:25:58,-9.8,-139.0333,76.93,80,83,12.15
65,Jamestown,US,2021-11-24 15:30:38,42.097,-79.2353,39.52,67,1,3.0
66,Puerto Ayora,EC,2021-11-24 15:30:39,-0.7393,-90.3518,76.96,73,88,11.12
67,Krasnoselkup,RU,2021-11-24 15:37:32,65.7,82.4667,9.05,95,100,10.65
68,Kavieng,PG,2021-11-24 15:35:47,-2.5744,150.7967,82.87,73,93,13.49
69,Korla,CN,2021-11-24 15:37:33,41.7597,86.1469,29.53,52,0,1.39
70,Rjukan,NO,2021-11-24 15:37:33,59.8789,8.5941,45.46,97,98,7.16
71,Bom Jesus,BR,2021-11-24 15:37:33,-9.0744,-44.3586,94.06,38,66,5.66
72,Harrisburg,US,2021-11-24 15:32:57,40.2737,-76.8844,41.94,51,1,3.0
73,Grindavik,IS,2021-11-24 15:37:34,63.8424,-22.4338,30.67,69,90,3.44
74,Hilo,US,2021-11-24 15:26:23,19.7297,-155.09,77.29,71,1,8.05
75,Ogaminana,NG,2021-11-24 15:37:34,7.5946,6.2248,92.12,36,87,6.24
76,Colombia,CU,2021-11-24 15:37:34,20.9881,-77.4297,79.52,63,48,15.37
77,Longyearbyen,SJ,2021-11-24 15:34:34,78.2186,15.6401,1.24,66,20,10.36
78,Pisco,PE,2021-11-24 15:33:20,-13.7,-76.2167,68.05,77,0,9.22
79,Chalus,IR,2021-11-24 15:37:35,36.655,51.4204,53.06,94,40,2.3
80,Changping,CN,2021-11-24 15:37:35,40.2186,116.2197,35.24,44,0,7.05
